Round: 36| client: 6, class: 4
Round: 36| client: 7, class: 1
Round: 36| client: 9, class: 2
Round: 36| client: 5, class: 0
Round: 36| client: 8, class: 2
Round: 36| client: 3, class: 3
Round: 36| client: 2, class: 3
Round: 36| client: 0, class: 1
Round: 36| client: 4, class: 0
Round: 36| client: 1, class: 1
Correct: 147, Incorrect: 38
= = = = = = = = = = = = = = = = = = = = = = = = 
Round: 37| client: 6, class: 1
Round: 37| client: 7, class: 1
Round: 37| client: 9, class: 2
Round: 37| client: 5, class: 1
Round: 37| client: 8, class: 2
Round: 37| client: 3, class: 3
Round: 37| client: 2, class: 0
Round: 37| client: 0, class: 1
Round: 37| client: 4, class: 4
Round: 37| client: 1, class: 1
Correct: 150, Incorrect: 40
= = = = = = = = = = = = = = = = = = = = = = = = 
Round: 38| client: 6, class: 0
Round: 38| client: 7, class: 0
Round: 38| client: 9, class: 0
Round: 38| client: 5, class: 1
Round: 38| client: 8, class: 2
Round: 38| client: 3, class: 0
Round: 38| client: 2, class: 0
Round: 38| client: 0, class: 4
Round: 38| client: 4, class: 3
Round: 38| client: 1, class: 4
Correct: 153, Incorrect: 42
= = = = = = = = = = = = = = = = = = = = = = = = 
Round: 39| client: 6, class: 0
Round: 39| client: 7, class: 0
Round: 39| client: 9, class: 1
Round: 39| client: 5, class: 4
Round: 39| client: 8, class: 0
Round: 39| client: 3, class: 3
Round: 39| client: 2, class: 2
Round: 39| client: 0, class: 0
Round: 39| client: 4, class: 4
Round: 39| client: 1, class: 0
Correct: 156, Incorrect: 44
= = = = = = = = = = = = = = = = = = = = = = = = 
Round: 40| client: 6, class: 0
Round: 40| client: 7, class: 0
Round: 40| client: 9, class: 3
Round: 40| client: 5, class: 0
Round: 40| client: 8, class: 3
Round: 40| client: 3, class: 4
Round: 40| client: 2, class: 2
Round: 40| client: 0, class: 0
Round: 40| client: 4, class: 1
Round: 40| client: 1, class: 0
Correct: 159, Incorrect: 46
= = = = = = = = = = = = = = = = = = = = = = = = 
Round: 41| client: 6, class: 1
Round: 41| client: 7, class: 2
Round: 41| client: 9, class: 1
Round: 41| client: 5, class: 1
Round: 41| client: 8, class: 1
Round: 41| client: 3, class: 0
Round: 41| client: 2, class: 0
Round: 41| client: 0, class: 3
Round: 41| client: 4, class: 4
Round: 41| client: 1, class: 3
Correct: 162, Incorrect: 48
= = = = = = = = = = = = = = = = = = = = = = = = 
Round: 42| client: 6, class: 1
Round: 42| client: 7, class: 1
Round: 42| client: 9, class: 1
Round: 42| client: 5, class: 4
Round: 42| client: 8, class: 0
Round: 42| client: 3, class: 3
Round: 42| client: 2, class: 2
Round: 42| client: 0, class: 1
Round: 42| client: 4, class: 4
Round: 42| client: 1, class: 1
Correct: 165, Incorrect: 50
= = = = = = = = = = = = = = = = = = = = = = = = 
Round: 43| client: 6, class: 2
Round: 43| client: 7, class: 1
Round: 43| client: 9, class: 3
Round: 43| client: 5, class: 0
Round: 43| client: 8, class: 3
Round: 43| client: 3, class: 4
Round: 43| client: 2, class: 2
Round: 43| client: 0, class: 2
Round: 43| client: 4, class: 0
Round: 43| client: 1, class: 2
Correct: 168, Incorrect: 52
= = = = = = = = = = = = = = = = = = = = = = = = 
Round: 44| client: 6, class: 0
Round: 44| client: 7, class: 0
Round: 44| client: 9, class: 3
Round: 44| client: 5, class: 1
Round: 44| client: 8, class: 3
Round: 44| client: 3, class: 2
Round: 44| client: 2, class: 4
Round: 44| client: 0, class: 1
Round: 44| client: 4, class: 1
Round: 44| client: 1, class: 1
Correct: 172, Incorrect: 53
= = = = = = = = = = = = = = = = = = = = = = = = 
Round: 45| client: 6, class: 1
Round: 45| client: 7, class: 1
Round: 45| client: 9, class: 1
Round: 45| client: 5, class: 1
Round: 45| client: 8, class: 3
Round: 45| client: 3, class: 2
Round: 45| client: 2, class: 2
Round: 45| client: 0, class: 1
Round: 45| client: 4, class: 4
Round: 45| client: 1, class: 0
Correct: 174, Incorrect: 56
= = = = = = = = = = = = = = = = = = = = = = = = 
Round: 46| client: 6, class: 1
Round: 46| client: 7, class: 1
Round: 46| client: 9, class: 3
Round: 46| client: 5, class: 1
Round: 46| client: 8, class: 0
Round: 46| client: 3, class: 2
Round: 46| client: 2, class: 2
Round: 46| client: 0, class: 1
Round: 46| client: 4, class: 4
Round: 46| client: 1, class: 1
Correct: 177, Incorrect: 58
= = = = = = = = = = = = = = = = = = = = = = = = 
Round: 47| client: 6, class: 4
Round: 47| client: 7, class: 4
Round: 47| client: 9, class: 3
Round: 47| client: 5, class: 0
Round: 47| client: 8, class: 4
Round: 47| client: 3, class: 2
Round: 47| client: 2, class: 1
Round: 47| client: 0, class: 4
Round: 47| client: 4, class: 0
Round: 47| client: 1, class: 4
Correct: 180, Incorrect: 60
= = = = = = = = = = = = = = = = = = = = = = = = 
Round: 48| client: 6, class: 3
Round: 48| client: 7, class: 3
Round: 48| client: 9, class: 1
Round: 48| client: 5, class: 3
Round: 48| client: 8, class: 1
Round: 48| client: 3, class: 0
Round: 48| client: 2, class: 2
Round: 48| client: 0, class: 4
Round: 48| client: 4, class: 3
Round: 48| client: 1, class: 4
Correct: 184, Incorrect: 61
= = = = = = = = = = = = = = = = = = = = = = = = 
Round: 49| client: 6, class: 1
Round: 49| client: 7, class: 1
Round: 49| client: 9, class: 1
Round: 49| client: 5, class: 4
Round: 49| client: 8, class: 0
Round: 49| client: 3, class: 3
Round: 49| client: 2, class: 1
Round: 49| client: 0, class: 1
Round: 49| client: 4, class: 2
Round: 49| client: 1, class: 1
Correct: 186, Incorrect: 64
= = = = = = = = = = = = = = = = = = = = = = = = 
