Round: 24| client: 3, class: 0
Round: 24| client: 2, class: 3
Round: 24| client: 0, class: 0
Correct: 73, Incorrect: 52
= = = = = = = = = = = = = = = = = = = = = = = = 
Round: 25| client: 6, class: 1
Round: 25| client: 8, class: 3
Round: 25| client: 5, class: 1
Round: 25| client: 9, class: 4
Round: 25| client: 7, class: 1
Round: 25| client: 1, class: 2
Round: 25| client: 4, class: 1
Round: 25| client: 3, class: 1
Round: 25| client: 2, class: 0
Round: 25| client: 0, class: 1
Correct: 75, Incorrect: 55
= = = = = = = = = = = = = = = = = = = = = = = = 
Round: 26| client: 6, class: 3
Round: 26| client: 8, class: 1
Round: 26| client: 5, class: 4
Round: 26| client: 9, class: 2
Round: 26| client: 7, class: 0
Round: 26| client: 1, class: 4
Round: 26| client: 4, class: 4
Round: 26| client: 3, class: 4
Round: 26| client: 2, class: 4
Round: 26| client: 0, class: 4
Correct: 78, Incorrect: 57
= = = = = = = = = = = = = = = = = = = = = = = = 
Round: 27| client: 6, class: 0
Round: 27| client: 8, class: 2
Round: 27| client: 5, class: 0
Round: 27| client: 9, class: 4
Round: 27| client: 7, class: 0
Round: 27| client: 1, class: 0
Round: 27| client: 4, class: 0
Round: 27| client: 3, class: 0
Round: 27| client: 2, class: 3
Round: 27| client: 0, class: 1
Correct: 80, Incorrect: 60
= = = = = = = = = = = = = = = = = = = = = = = = 
Round: 28| client: 6, class: 1
Round: 28| client: 8, class: 3
Round: 28| client: 5, class: 2
Round: 28| client: 9, class: 0
Round: 28| client: 7, class: 4
Round: 28| client: 1, class: 2
Round: 28| client: 4, class: 2
Round: 28| client: 3, class: 2
Round: 28| client: 2, class: 2
Round: 28| client: 0, class: 2
Correct: 83, Incorrect: 62
= = = = = = = = = = = = = = = = = = = = = = = = 
Round: 29| client: 6, class: 3
Round: 29| client: 8, class: 2
Round: 29| client: 5, class: 0
Round: 29| client: 9, class: 2
Round: 29| client: 7, class: 1
Round: 29| client: 1, class: 3
Round: 29| client: 4, class: 3
Round: 29| client: 3, class: 4
Round: 29| client: 2, class: 3
Round: 29| client: 0, class: 3
Correct: 85, Incorrect: 65
= = = = = = = = = = = = = = = = = = = = = = = = 
Round: 30| client: 6, class: 0
Round: 30| client: 8, class: 1
Round: 30| client: 5, class: 3
Round: 30| client: 9, class: 1
Round: 30| client: 7, class: 3
Round: 30| client: 1, class: 3
Round: 30| client: 4, class: 4
Round: 30| client: 3, class: 2
Round: 30| client: 2, class: 2
Round: 30| client: 0, class: 3
Correct: 88, Incorrect: 67
= = = = = = = = = = = = = = = = = = = = = = = = 
Round: 31| client: 6, class: 1
